Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,603,142.875,-76.9125,90,top
C2,0.1uF,603,142.875,-73.293,90,top
C3,27pF,603,146.764782,-94.154218,225,top
C4,27pF,603,141.113282,-88.502718,45,top
C5,0.1uF,603,159.782282,-80.882718,45,top
C6,0.1uF,603,157.432782,-85.454718,45,top
C7,1uF,603,158.575782,-86.597718,45,top
C8,0.1uF,603,145.0975,-80.518,135,top
C9,0.1uF,603,143.256,-82.4865,135,top
C10,0.1uF,603,143.430218,-90.821282,225,top
C11,0.1uF,603,155.067,-89.2175,315,top
C12,0.1uF,603,152.527,-91.821,315,top
C13,1uF,603,155.177718,-83.201282,45,top
C14,0.1uF,603,154.067282,-82.089218,45,top
C15,0.1uF,603,144.542282,-91.931718,225,top
C16,1uF,603,145.669,-93.0275,225,top
C17,1uF,603,137.16,-73.2295,270,top
C18,1uF,603,140.9065,-77.456,270,top
C19,0.1uF,603,162.941,-76.4045,270,top
IC1,TXS0104ED,SOIC-14,148.6535,-75.057,0,top
IC2,W25Q64JVXGIQ_TR,XSON-8-EP(4x4),158.9405,-75.438,0,top
IC3,TPS7A2033PDBVR,SOT-23-5,139.893,-73.5765,90,top
J1,47346-0001,SMD,133.828,-66.1,180,top
R1,10k,603,155.33,-72.3265,180,top
R2,1k,805,166.8055,-75.692,180,top
R3,1k,805,166.8055,-73.5965,180,top
R4,10k,603,156.1465,-94.4245,0,top
R5,1k,603,160.923,-94.4245,0,top
R6,1k,603,142.287218,-89.678282,45,top
R7,10k,603,158.99,-72.3265,180,top
R8,27,603,156.289782,-84.311718,45,top
R9,27,603,138.063,-77.724,0,top
R10,27,603,138.063,-80.264,180,top
S1,FSM2JSMAATR,GullWing,152.4635,-98.9965,0,top
S2,FSM2JSMAATR,GullWing,164.6335,-99.024,0,top
U0,RP2040,LQFN-56(7x7),148.704439,-86.5505,315,top
X1,ABLS-12MHZ-B4-T,HC-49S-SMD,139.1285,-95.504,315,top
